1	1,11
10	13,61
100	1,7
1000	3,12
10000	9,44
10001	1,0
10002	2,5
10004	6,15
10005	1,1
10006	1,8
10009	1,6
10012	1,7
10014	2,9
10017	1,25
1002	1,0
10021	2,12
10024	6,68
10027	2,2
10028	10,143
10029	1,5
10030	1,7
10031	1,19
10037	1,6
10038	1,1
10040	1,6
10042	14,107
10043	7,93
10046	4,13
10047	1,12
10048	2,18
10050	31,488
10055	42,112
1006	4,27
10061	2,6
10062	1,2
10065	4,50
10067	9,38
10069	7,5
10072	1,14
10073	5,98
10076	1,14
10077	1,6
10078	3,7
10079	2,2
1008	2,8
10082	1,1
10085	6,69
10086	2,25
10087	6,77
10088	1,2
10095	1,19
10097	3,86
10105	5,60
10106	2,36
10107	14,66
10111	2,18
10113	1,14
10114	2,8
10116	3,21
1012	1,10
10122	1,0
10123	1,2
10127	2,2
10128	1,1
10131	1,0
10135	1,24
10136	2,6
10139	2,5
10146	2,27
10147	1,5
10148	1,17
1015	28,17
10152	1,9
10153	1,16
10155	1,2
10157	3,22
10158	1,22
1016	2,10
10162	2,9
10164	7,1
10170	1,21
10173	1,9
10174	1,1
10175	1,27
10176	2,8
10177	1,3
10180	1,10
10181	1,1
10182	5,20
10185	5,6
10190	2,2
10192	3,75
10193	1,0
10194	1,21
10199	1,0
1020	2,16
10200	1,5
10201	2,25
10206	5,46
10209	2,14
1021	7,56
10212	8,0
10213	1,0
10214	6,52
10215	1,0
10216	2,20
10218	5,3
10219	6,38
1022	1,20
10220	2,23
10222	2,18
10223	3,26
10225	2,15
10226	1,8
10233	2,6
10236	4,9
10238	1,24
1024	2,17
10244	3,27
10245	5,56
10246	4,101
10249	7,111
10252	2,14
10253	1,0
10255	4,41
10263	116,786
10271	1,13
10273	3,0
10274	3,44
10275	7,46
10279	2,34
1028	1,15
10282	1,23
10283	2,36
10284	2,12
10286	19,216
10289	2,7
10291	1,14
10292	1,4
10294	1,7
10295	1,0
10296	1,9
103	1,1
10301	5,36
10305	1,6
10308	114,420
10312	1,14
10319	1,4
10320	1,7
10322	1,4
10323	1392,6898
10324	2,0
10326	5,44
10329	1,8
10330	2,23
10333	1,4
10335	1,1
10336	4,31
10340	1,2
10341	1,28
10344	2,10
10347	1,0
10348	1,6
10349	1,12
10354	3,34
10357	5,31
10362	1,26
10363	10,56
10364	22,133
10366	1,5
10368	3,22
10369	1,0
10370	1,24
10373	1,1
10376	2,14
10377	19,90
10378	1,9
10379	1,14
10383	1,15
10386	3,25
10389	3,5
10390	3,19
10394	4,14
10395	12,83
10397	1,1
10399	1,20
104	11,70
1040	4,18
10400	1,8
10401	1,2
10402	1,12
10403	2,7
10405	3,30
10406	1,26
10408	1,5
1041	1,25
10413	4,50
10417	1,1
10421	7,106
10422	2,25
10424	4,33
10430	4,48
10436	5,63
1044	3,43
10440	1,2
10444	4,12
10446	3,13
10449	1,0
10451	1,20
10454	1,1
10456	2,6
10458	1,17
1046	1,5
10462	1,1
10463	1,14
10466	1,12
10467	15,82
1047	1,2
10475	2,11
10476	2,23
10481	3,16
10482	1,9
10486	2,0
10491	6,30
10496	7,50
10501	6,49
10503	36,202
10504	2,4
10510	2,14
10512	3,80
10518	1,6
10520	1,1
10522	3,5
10523	1,6
10524	1,0
10527	2,3
10528	8,91
10531	4,15
10534	5,59
10535	2,31
10536	1,0
1054	4,20
10540	1,24
10543	1,11
10549	2,11
10550	1,9
10552	1,0
10555	1,13
10556	1,15
10559	1,10
10560	1,5
10561	5,84
10566	26,129
1057	1,7
10573	1,4
10578	3,27
10580	1,7
10582	2,15
10587	2,5
10588	1,2
10590	1,0
10593	2,20
10601	3,30
10604	1,0
10610	5,33
10611	1,21
10616	2,0
10622	1,10
10623	3,26
10626	1,0
10628	2,36
1063	1,13
10630	3,0
10634	1,7
10635	1,17
10637	17,130
10638	7,41
1064	2,0
10640	10,165
10641	2,17
10642	1,3
10648	1,7
10649	6,34
10651	36,134
10653	2,51
10655	2,19
10656	20,141
1066	1,0
10661	2,17
10664	1,4
10665	27,104
10667	1,12
10668	1,0
10678	1,0
1068	151,649
10680	9,133
10681	2,0
10682	3,31
10683	2,2
10686	1,5
1069	9,98
10691	4,49
10693	1,1
10695	2,16
10696	6,75
10697	4,15
10699	1,2
107	1,12
10701	4,52
10702	1,12
10706	1,19
10708	1,10
10714	1,10
10718	2,2
10719	2,32
10725	3,33
10727	2,0
10728	1,7
10729	6,73
10736	1,2
10743	1,0
10744	1,18
10745	1,12
1075	1,24
10753	1,5
10754	1,22
10758	2,8
10761	2,6
10762	1,6
10763	3,27
10764	3,19
10766	1,8
10767	6,67
10770	4,30
10773	2,16
10774	2,18
10777	4,16
10779	1,22
10780	1,4
10786	2,12
10788	2,32
10791	4,36
10794	3,18
10795	1,6
10796	2,24
10798	3,4
10799	1,2
10800	24,480
10803	1,12
10808	3,23
10810	1,5
10811	2,11
10813	1,0
10814	1,5
10815	6,59
10816	1,7
10820	2,4
10822	1,4
10823	2,23
10824	1,4
10827	3,11
1083	1,24
10833	1,3
10834	3,12
10838	2,0
10839	1,13
1084	1,0
10846	4,49
10847	6,124
10848	2,18
10850	2,7
10851	3,17
10853	3,15
